"SMILES","CASRN","RECORDID","MOLECULEID","EXTERNALID","N","NAME","NAME","INTRODUCER","MODIFIER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Ionizable centre (smiles)","pKa predicted value","UNIT {pKa predicted value}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","IC group given","Temperature","UNIT {Temperature}","COMMENTS","INCHI_KEY"
"CC1=C(C)C=NC=C1","-","R933239","M7609","-","-","3,4-dimethylpyridine","-","Koerner","charochkina","A3555","12767145","-","-","6.47","Log unit","6.47","Log unit","n1cc(c(cc1)C)C","6.252","Log unit","0","6.3311","Log unit","","","-","-","NURQLCJSMXZBPC-UHFFFAOYSA"
"NC1=CC(Br)=CC(Br)=C1","-","R933240","M124452","-","-","3,5-DIBROMOANILINE","-","Koerner","charochkina","A3555","12767145","-","-","2.35","Log unit","2.35","Log unit","Nc1cc(cc(c1)Br)Br","2.865","Log unit","0","2.8758","Log unit","","","-","-","RVNUUWJGSOHMRR-UHFFFAOYSA"
"NC1=CC(Cl)=CC(Cl)=C1","-","R933241","M11294","-","-","3,5-Dichloroaniline","-","Koerner","charochkina","A3555","12767145","-","-","2.37","Log unit","2.37","Log unit","Nc1cc(cc(c1)Cl)Cl","2.339","Log unit","0","2.5892","Log unit","","","-","-","UQRLKWGPEVNVHT-UHFFFAOYSA"
"NC1=CC(I)=CC(I)=C1","-","R933242","M124453","-","-","3,5-DIIODOANILINE","-","Koerner","charochkina","A3555","12767145","-","-","2.37","Log unit","2.37","Log unit","Nc1cc(cc(c1)I)I","2.889","Log unit","0","3.0234","Log unit","","","-","-","CHLBMXJABUVAJX-UHFFFAOYSA"
"COC1=CC(OC)=CC(N)=C1","-","R933243","M80090","-","-","3,5-Dimethoxyaniline","-","Koerner","charochkina","A3555","12767145","-","-","3.86","Log unit","3.86","Log unit","Nc1cc(cc(c1)OC)OC","4.08","Log unit","0","3.5145","Log unit","","","-","-","WNRGWPVJGDABME-UHFFFAOYSA"
"CC1=CC(N)=CC(C)=C1","-","R933244","M6820","-","-","3,5-Dimethylaniline","-","Koerner","charochkina","A3555","12767145","-","-","4.76","Log unit","4.76","Log unit","Nc1cc(cc(c1)C)C","4.881","Log unit","0","5.0749","Log unit","","","-","-","MKARNSWMMBGSHX-UHFFFAOYSA"
"CC1=CC(C)=CN=C1","-","R933245","M4166","-","-","3,5-dimethylpyridine","-","Koerner","charochkina","A3555","12767145","-","-","6.09","Log unit","6.09","Log unit","n1cc(cc(c1)C)C","6.201","Log unit","0","6.137","Log unit","","","-","-","HWWYDZCSSYKIAD-UHFFFAOYSA"
"NC1=CC(=CC(=C1)N(=O)=O)N(=O)=O","-","R933246","M6917","-","-","3,5-dinitroaniline","-","Koerner","charochkina","A3555","12767145","-","-","0.23","Log unit","0.23","Log unit","Nc1cc(cc(c1)N(=O)=O)N(=O)=O","0.605","Log unit","0","-0.0073","Log unit","","","-","-","MPBZUKLDHPOCLS-UHFFFAOYSA"
"C(N1CCCC1)C1=CN=CC=C1","-","R933247","M20238","-","-","3-(1-Pyrrolidinylmethyl)pyridine","-","Koerner","charochkina","A3555","12767145","-","-","8.36","Log unit","8.36","Log unit","N1(Cc2cnccc2)CCCC1","8.884","Log unit","0","8.8552","Log unit","","","-","-","YFCWBKBNFCDPDF-UHFFFAOYSA"
"CN(C)CCC1=CN=CC=C1","-","R933248","M34924","-","-","3-(DIMETHYLAMINOETHYL)PYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","8.86","Log unit","8.86","Log unit","N(CCc1cccnc1)(C)C","8.708","Log unit","0","8.9645","Log unit","","","-","-","DZOSVKUXMNMXTK-UHFFFAOYSA"
